lokal,naslov,city,cena,cena_old,doplacilo,doplacilo_old,lat,lon,posid,detailslink,sort-group,cena_diff,doplacilo_diff,cena_diff_percent,doplacilo_diff_percent
,,,,6.19,,3.37,,,3186,,,,,,
ABI FALAFEL,Trubarjeva cesta 40,LJUBLJANA,9.0,6.99,5.5,4.17,46.05244723,14.51096893,1478,/sl/restaurant/Details/1478,65,2.01,1.33,28.75536480686695,31.894484412470025
AMBIENT,Topniška 29a,LJUBLJANA,4.7,2.82,1.2,0.0,46.0678561,14.5107121,1772,/sl/restaurant/Details/1772,65,1.8800000000000003,1.2,66.66666666666669,inf
,,,,6.5,,3.68,,,3075,,,,,,
AULA COFE,Kardeljeva ploščad 5,LJUBLJANA,4.5,2.82,1.0,0.0,46.0756183,14.5131624,2924,/sl/restaurant/Details/2924,65,1.6800000000000002,1.0,59.57446808510639,inf
AZIJSKA RESTAVRACIJA HAN,Kongresni trg 3,LJUBLJANA,8.9,6.8,5.4,3.98,46.0506054,14.5045463,2147,/sl/restaurant/Details/2147,65,2.1000000000000005,1.4200000000000004,30.882352941176478,35.67839195979901
BALKAN EXPRESS,Moskovska ulica 4,LJUBLJANA,9.0,7.0,5.5,4.18,46.0693078,14.5484774,2488,/sl/restaurant/Details/2488,66,2.0,1.3200000000000003,28.57142857142857,31.578947368421062
,,,,3.69,,0.87,,,1817,,,,,,
BAR MOMENT,Litostrojska cesta 44E,LJUBLJANA,7.5,6.19,4.0,3.37,46.078743,14.495953,3042,/sl/restaurant/Details/3042,66,1.3099999999999996,0.6299999999999999,21.16316639741518,18.69436201780415
BARBADO,Dunajska cesta 106,LJUBLJANA,8.9,6.99,5.4,4.17,46.0744262,14.5119666,2133,/sl/restaurant/Details/2133,66,1.9100000000000001,1.2300000000000004,27.32474964234621,29.496402877697854
BIG PANDA - DOSTAVA,Jurčičeva ulica 3,MARIBOR,9.0,6.59,5.5,3.77,46.559173,15.6469323,3163,/sl/restaurant/Details/3163,66,2.41,1.73,36.57056145675266,45.88859416445623
BIG PANDA RESTAVRACIJA,Jurčičeva ulica 3,MARIBOR,8.6,6.59,5.1,3.77,46.559173,15.6469323,3162,/sl/restaurant/Details/3162,66,2.01,1.3299999999999996,30.500758725341427,35.27851458885941
BIGDIL COFE,Kardeljeva ploščad 17,LJUBLJANA,4.5,2.82,1.0,0.0,46.0740168,14.516449,2926,/sl/restaurant/Details/2926,66,1.6800000000000002,1.0,59.57446808510639,inf
BISTRO ARTY+,Slovenska ulica 20,MARIBOR,9.0,7.0,5.5,4.18,46.560381,15.64577,2862,/sl/restaurant/Details/2862,66,2.0,1.3200000000000003,28.57142857142857,31.578947368421062
,,,,6.19,,3.37,,,1465,,,,,,
BISTRO VILLA DOMUS,Vojkovo nabrežje 12,KOPER/CAPODISTRIA,7.5,5.92,4.0,3.1,45.545517,13.733073,2821,/sl/restaurant/Details/2821,66,1.58,0.8999999999999999,26.68918918918919,29.032258064516125
BOHOR,Kidričeva ulica 23,ROGAŠKA SLATINA,8.5,6.69,5.0,3.87,46.2338608,15.6377234,1645,/sl/restaurant/Details/1645,66,1.8099999999999996,1.13,27.055306427503726,29.198966408268728
BOLNIŠNIČNA RESTAVRACIJA SPLOŠNE BOLNIŠNICE JESENICE,Cesta maršala Tita 112,JESENICE,5.5,4.5,2.0,1.68,46.4428775,14.0369591,3109,/sl/restaurant/Details/3109,66,1.0,0.32000000000000006,22.22222222222222,19.04761904761905
BUREK OLIMPIJA RIMSKA,Rimska cesta 13,LJUBLJANA,4.5,3.69,1.0,0.87,46.047428,14.4998576,3173,/sl/restaurant/Details/3173,66,0.81,0.13,21.951219512195124,14.942528735632186
BURGER TIME,Trubarjeva 47,LJUBLJANA,9.0,7.0,5.5,4.18,46.0525226,14.5117865,3067,/sl/restaurant/Details/3067,66,2.0,1.3200000000000003,28.57142857142857,31.578947368421062
CANTANTE CAFE TABOR,Ulica Pariške komune 37,MARIBOR,8.0,6.6,4.5,3.78,46.5484518,15.6430608,1161,/sl/restaurant/Details/1161,67,1.4000000000000004,0.7200000000000002,21.212121212121218,19.047619047619055
CANTANTE CAFE TABOR - DOSTAVA,Ulica Pariške komune 37,MARIBOR,9.0,7.0,5.5,4.18,46.5484518,15.6430608,1673,/sl/restaurant/Details/1673,67,2.0,1.3200000000000003,28.57142857142857,31.578947368421062
CANTINA QUE PASA,Trg osvobodilne fronte 13,LJUBLJANA,7.8,6.19,4.3,3.37,46.0574226,14.509497,3176,/sl/restaurant/Details/3176,67,1.6099999999999994,0.9299999999999997,26.009693053311782,27.596439169139458
CHUTYS EUROPARK MARIBOR,Pobreška cesta 18,MARIBOR,9.0,6.99,5.5,4.17,46.5537814,15.6532921,3171,/sl/restaurant/Details/3171,67,2.01,1.33,28.75536480686695,31.894484412470025
,,,,5.7,,2.88,,,1568,,,,,,
,,,,6.2,,3.38,,,1569,,,,,,
CITYBURGER,Ankaranska 7,KOPER/CAPODISTRIA,9.0,6.99,5.5,4.17,45.5458243,13.7403981,2243,/sl/restaurant/Details/2243,67,2.01,1.33,28.75536480686695,31.894484412470025
,,,,6.59,,3.77,,,3110,,,,,,
ČEVABDŽINICA SARAJEVO84,Gramšijev trg 8,KOPER/CAPODISTRIA,8.6,6.99,5.1,4.17,45.5472243,13.7354463,3114,/sl/restaurant/Details/3114,268,1.6099999999999994,0.9299999999999997,23.032904148783967,22.302158273381288
,,,,7.0,,4.18,,,3184,,,,,,
"DA BU DA, AZIJSKA RESTAVRACIJA",Šubičeva 1a,LJUBLJANA,9.0,7.0,5.5,4.18,46.0514392,14.5000498,1485,/sl/restaurant/Details/1485,68,2.0,1.3200000000000003,28.57142857142857,31.578947368421062
DIFOOD-EAT GOOD,Gortanova 21,LJUBLJANA,6.0,4.52,2.5,1.7,46.0503594,14.5332075,2523,/sl/restaurant/Details/2523,68,1.4800000000000004,0.8,32.74336283185842,47.05882352941177
,,,,5.69,,2.87,,,1500,,,,,,
DIJAŠKI DOM LIZIKE JANČAR,Titova cesta 24a,MARIBOR,6.5,4.7,3.0,1.88,46.5487086,15.6488376,1090,/sl/restaurant/Details/1090,68,1.7999999999999998,1.12,38.29787234042553,59.57446808510639
DIJAŠKI DOM POLJANE,Potočnikova ulica 3,LJUBLJANA,6.5,5.02,3.0,2.2,46.0492373,14.5233316,1502,/sl/restaurant/Details/1502,68,1.4800000000000004,0.7999999999999998,29.482071713147423,36.36363636363635
DIJAŠKI DOM PORTOROŽ,Sončna pot 20,PORTOROŽ/PORTOROSE,8.0,5.69,4.5,2.87,45.5169575,13.5835564,3145,/sl/restaurant/Details/3145,68,2.3099999999999996,1.63,40.597539543057984,56.79442508710801
DIJAŠKI DOM TABOR,Kotnikova 4,LJUBLJANA,7.6,5.82,4.1,3.0,46.0534162,14.5137731,2111,/sl/restaurant/Details/2111,68,1.7799999999999994,1.0999999999999996,30.58419243986253,36.66666666666665
DIJAŠKI DOM VIČ,Gerbičeva 53,LJUBLJANA,6.0,5.19,2.5,2.37,46.03939685,14.48836816,1314,/sl/restaurant/Details/1314,68,0.8099999999999996,0.1299999999999999,15.606936416184963,5.485232067510544
